Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,AccountId
394278,2406,1279310620817,Tom,1677606400040,,,,191,12,0,,,168673
393768,183,1279279156630,Tinro,1562639526250,,,,14,3,0,,,168358
391979,517,1279135280690,jwheels,1643908944077,,,"<p>Student at the University of Maryland</p>
",32,19,2,,,167275
390454,1,1279025786057,freak_ts,1283225457510,,,,2,0,0,,,631320
389837,803,1278965673090,coder543,1682544409187,,,,125,21,9,,,165993
389663,13,1278952359100,Agha,1280318650793,,,,3,0,0,,,631014
389273,1,1278920892667,user389273,1284132635357,,,,3,0,0,,,165644
389085,31,1278889464567,Beni,1278958301420,,,,3,0,0,,,634229
387380,1138,1278650106990,Kerb,1667225762683,,"Russia, Moscow",,116,341,10,,,164552
387104,373,1278618470127,ballgame,1281914666123,,,,16,4,0,,,164386
386911,2016,1278606985013,evenodd,1663168407043,,New York,,264,31,2,,,164262
386509,740,1278584055013,onsy,1606401491653,http://www.linkedin.com/in/omnarayan,"Hyderabad, India","<p>A developer with 6.5 years of challenging professional experience creating high quality software and tools within complex development environments.</p>

<p>Passionate about programming technologies and loves to devise rational and innovative solution for any problem.</p>

<p>Specialties: Google App Engine, AWS, Web Crawling, PYTHON, JAVA, HTML, SQL, Big Data, Nosql, Mysql, Distributed System Design, Jquery</p>
",81,20,0,,,164007
385850,39,1278527209887,user385850,1325698169910,,,,53,1,0,,,163597
381910,1,1278062936970,ashwani,1278140481837,,,,2,0,0,,,630219
381770,1,1278052053613,AndroidFighter,1281337466780,,,,3,0,0,,,630173
381729,1,1278046740640,Paul,1300107692373,,,,0,0,0,,,161168
380093,35,1277903546673,shaun,1282936819157,,,,4,3,0,,,160201
379454,31,1277845668850,Owen Thomas,1277926810983,,,,4,0,0,,,159817
378851,47,1277804606037,khanna,1280318335087,,,,20,0,0,,,626610
378239,11,1277743933880,Yared,1578329181533,,"Alexandria, VA, USA",,10,0,0,,,159139
377663,4741,1277687142510,Darko Kenda,1681764462973,,,,223,59,35,,,158779
377083,11,1277578052170,P A V L I K,1277578052170,,,,3,0,0,,,626382
376226,101,1277467005747,AAP,1323870250460,,,,8,20,0,,,157942
375287,3,1277385181487,Vincent,1453459573750,,,,6,0,0,,,157377
372595,9,1277155463053,armand,1277194985717,http://www.learnwithme.ch,,,4,0,0,,,627623
372223,1,1277129077700,Helen,1280120629997,,,,1,0,0,,,624511
371065,553,1276960667120,hkropp,1679497128687,,,,34,45,0,,,154842
369696,396,1276800604480,Mike,1679293760060,https://deadliestwebattacks.com/,"San Francisco, CA, United States",,18,1,0,,,154029
368132,35,1276683212933,IvanQ,1678377839963,,,,12,6,0,,,153112
367767,1,1276642837467,user367767,1283118584767,,,,0,0,0,,,152904
367717,1365,1276637507423,Grey,1434719472223,,,"<p>client side developer on Android platform. </p>
",68,19,1,,,152879
365990,31,1276484900430,JohnRoberts,1276488017720,,,,2,0,0,,,625337
365967,3530,1276480736433,cbracken,1683331613050,https://chris.bracken.jp/,"Tokyo, Japan","<p>Senior Software Engineer working on <a href=""http://flutter.io"" rel=""nofollow noreferrer"">Flutter</a> at Google. Before that, worked on the <a href=""http://dartlang.org"" rel=""nofollow noreferrer"">Dart Programming Language</a>.</p>
",104,35,7,,,151853
365251,46796,1276349877230,markzzz,1683298285530,,,,3675,4146,101,,,151403
365065,431,1276314457963,leo,1298606319777,,,,9,0,0,,,625789
363674,5375,1276186644380,iamserious,1670158300717,,London,,500,476,30,,,150461
363637,151,1276184773377,user363637,1543029202683,,,,9,1,0,,,150443
363554,613,1276180590403,jlasarte,1592360237750,,Canada,"<p>I'm a software developer, living in Canada.</p>
",73,87,61,,,150396
362159,506,1276068957553,Mike Knoop,1677103023427,http://mikeknoop.com,Bay Area,"<p>Co-founder and product at @Zapier (YC S12), part-builder, part-hacker, part-designer. Lover of the color orange.</p>

<p>Find more at <a href=""http://mikeknoop.com"" rel=""nofollow"">http://mikeknoop.com</a></p>

<p>Follow me on Twitter <a href=""http://twitter.com/mikeknoop"" rel=""nofollow"">http://twitter.com/mikeknoop</a></p>
",58,48,0,,,149568
361783,423,1276028678963,MitchellKrenz,1677852293330,,,,45,72,0,,,149354
359560,934,1275804524327,Blomman,1280408689053,,,,17,0,0,,,619043
359539,53,1275800706803,msk,1683276892900,,,,18,6,0,,,148048
358451,1,1275655672583,Sur,1291355369930,,India,,2,0,0,,,623066
357635,13,1275578642817,Marcelo,1276613958227,,,,0,0,0,,,622028
355581,575,1275407035203,Bébul,1675553959757,http://www.bistudio.com,"Dobříš, Czech Republic",,22,49,0,,,145644
355554,2805,1272634526990,Mayur,1349696906207,,"Nagpur, India",,235,3,0,,,145627
354507,1145,1275302839597,Eugene Strizhok,1683015970107,,,,261,151,16,,,145016
353623,1,1275143408980,user353623,1333469655273,,,,2,0,0,,,144514
353004,9104,1275058131410,Cloudanger,1683413024353,http://stackoverflow.com/users/353004/cloudanger,Finland,,145,1099,7,,,144161
352739,101,1275038439073,Stanislav,1275042200770,,,,11,0,0,,,617990
352059,1094,1274970389270,andrewtatham,1679963185843,http://andrewtatham.com,"Leeds, United Kingdom","<p>Contract .NET software developer with 14+ years’ experience in Microsoft technologies. More back-end than front-end. Extensive TDD/BDD experience. Interested in contract .NET development opportunities based in Leeds, or working remotely.</p>
",102,77,3,,,143606
351228,23,1274897381753,seb,1274899027763,,,,0,0,0,,,616406
349271,1,1274730151863,tcantrel,1274840006517,,Colorado,,1,0,0,,,141907
348253,1,1274616281853,Marek,1274713975543,,,,1,0,0,,,618573
346950,1,1274435002147,Libra,1274437074507,,,,4,0,0,,,617633
346855,3,1274426831033,Holian,1274958822030,,,,4,0,0,,,617593
346415,73,1274379090773,ar_,1295829830267,,,,19,0,0,,,618286
346196,1064,1274364987750,Scott Switzer,1651841204170,http://www.switzer.org,"New York, NY",,98,42,0,,,140122
344286,48539,1272731726073,Wayne Werner,1682774939477,https://www.waynewerner.com,"Greenwood, AR","<p>I'm a husband to my beautiful wife, father to our children, Computer Science graduate from University of Central Arkansas. I love my wife, our children, computers, playing guitar (especially singing/playing for my wife and/or kids), bicycling (including taking my kids for rides in my bike trailer), woodworking, airbrushing, digital and traditional artistry, playing games with my family (traditional and digital), my poor Chevette that I had to sell, throwing knives, firearms, knot tying, rope making, whip making, and really just learning new stuff in general. If I don't know about it I probably want to learn about it, if only so I can make informed decisions about it.</p>

<p><p>
My three favorite programming languages are Python, Lisp, and Assembly (though I'm not sure about the order of those last two languages...).</p>

<p>I think the CANSPAM act is one of the dumbest pieces of legislation in the history of the universe</p>

<p>I love Python and HTML+Javascript.</p>

<p>I'm #SOreadytohelp (I really want a t-shirt, what can I say?)</p>
",5048,2084,37,,,138991
343985,431,1274184818843,Vns,1293966322847,,,,7,0,0,,,614712
343899,31,1274178248690,Chris,1274616589857,,,,1,0,0,,,138756
342388,957,1274018545637,OMGrant,1274997617660,http://GrantGarrison.com,,,78,0,0,,,613456
341451,21,1273856127737,user341451,1284119283003,,,,5,0,0,,,137336
339088,1,1273652217277,Ernest,1405265196350,,,,3,0,0,,,135920
338187,213,1273575806860,James R.,1273679461230,,,,6,0,0,,,135365
337098,29,1273467428417,MITHIYA MOIZ,1352810704447,,,,14,0,0,,,134745
336777,41,1273433070583,Elliot Cohen,1368739818517,http://www.elliotcohen.name,"Cambridge, MA",,16,0,0,,,134559
333750,469,1273084517787,Matthew Bowen,1683448587353,,"Tokyo, Japan",,42,63,0,,,132821
333427,155,1273063079160,Peter,1650880766463,,,,20,65,0,,,132619
330494,6079,1272737051960,Barlow Tucker,1666032309303,http://www.barlowtucker.com,United States,"<p>I believe that great teams build simple solutions to complex problems.  I love learning new technologies and have build successful software engineering teams at companies as small as 20 engineers to companies with thousands of employees. </p>

<ul>
<li>Ran a successful web development company, working in HTML, Javascript, PHP, C#.</li>
<li>Started building iOS apps in 2010 (iOS 3).</li>
<li>Built the mobile team at a fast paced Medical company</li>
<li>Built multiple software engineering teams, including a QA team, at a small start up.</li>
<li>Co-founded a successful mobile consulting company.  Our teams worked in Swift, Kotlin, and React Native.</li>
<li>Co-founded Stage 3 (stage3.app) to help small business be successful.  We build SaaS platforms to give business owners access to the data they need to be successful.</li>
</ul>
",211,308,12,,,130892
329440,211,1272597296997,CodeJunkie,1300995878660,,,,11,0,0,,,609017
328212,1,1272481970737,Emma,1272487647383,,,,0,0,0,,,676591
327400,41,1272417235080,cjard,1272417235080,,,,13,0,0,,,608515
326559,1418,1239288191667,Kevin Jensen,1599854256653,http://www.kineticmedia.net,Minnesota,.NET Junkie!,82,327,3,,,128594
323635,1052,1271965356470,RM.,1355938879533,,,,34,2,0,,,126850
321544,21,1271784545223,Ramsey Nasser,1390877092920,http://nas.sr/,"New York, NY",,16,11,0,,,125640
321323,364,1271769557033,micdah,1565950736973,http://www.micdah.dk,Denmark,"<p>I currently work as a fullstack developer at First Agenda, where we work primarily with the .Net stack (core and framework) and various other server technologies involved.</p>
",18,7,0,,,125500
321005,35,1271743320863,ssin,1518691806597,,India,,19,1,0,,,125305
317193,61,1271312419843,Jean,1272004657783,,,,5,0,0,,,604763
316988,11,1271282704843,chosenken,1532726469757,,"Cincinnati, OH",,6,0,0,,,122891
316865,1,1271272816217,proyb,1271494299690,,,,7,0,0,,,604650
312629,730,1270803022640,Roberto Lo Giacco,1677609443520,http://rlogiacco.blogspot.com,,"<p>I'm a software architect with a passion for open source and a long history in Java and web development.</p>

<p>Recently got entangled in the microcontrollers and electronics world (Arduino and similar).</p>
",203,54,6,,,120286
312619,43,1270802165897,Omer Salmanoglu,1279698017370,,,,20,0,0,,,120279
311594,143,1270701221693,Tom Seago,1308688932660,,,,19,0,0,,,602892
310579,1108,1270609272060,cubic1271,1607696876680,,,,75,119,17,,,119100
309491,11,1270497992263,Tim,1270501327630,,,,11,0,0,,,602155
309296,1164,1270480377873,Rui Gonçalves,1598290407280,,"Porto, Portugal",,50,6,0,,,118331
309098,59,1270457058957,Allen,1273834409530,,,,11,0,0,,,604391
306985,1363,1270133135220,Vitalii Boiarskyi,1679925099647,,,,173,98,1,,,117179
304132,46,1269860190093,user304132,1296080147343,,,,5,2,0,,,115909
303728,13,1269803933950,Jeff,1271890826300,,,,0,0,0,,,599453
302998,867,1269657344183,Adam Anderson,1681828849740,http://aonnull.blogspot.com/,"Overland Park, KS",,44,8,0,,,115381
301807,1835,1269530340413,dtanders,1683239555177,https://dtanders.net,"Minneapolis, MN","<p>I have proximate knowledge of many things, especially when those things are JavaScript, C#, Python and SQL.</p>
",188,192,2,,,114834
299138,2979,1269271347620,DarkW1nter,1683296965137,,"Glasgow, United Kingdom",,680,476,2,,,113619
299032,219,1269263713250,Mutahir,1676396360280,,,,31,6,0,,,113564
298356,289,1269161621780,Navin,1543569188323,,"Chennai, India",,63,26,0,,,113248
298116,395,1269108507940,budda,1564841832357,,,,18,13,1,,,113125
297636,1,1269024079263,steve,1269024079263,,,,0,0,0,,,597608
297604,116,1269021327473,Carl Wright,1273634868080,http://www.servicelevel.net,,,27,0,0,,,597593
296639,2500,1268925262733,Simon B.,1683274704227,,Europe,Webprogrammer and generalist,452,1002,48,,,112464
292213,66,1268384270713,user292213,1268461846887,,,,4,2,0,,,110428
292139,21,1268375682933,The Pretender,1268375682933,,,,4,0,0,,,596630
291797,21,1268334120630,MRV,1277416026097,http://www.kharv.com,"Toronto, Canada",,4,1,0,,,110249
289756,13,1268147497737,WcfEnum,1268987974883,,,,3,0,0,,,594887
288424,8845,1268006575683,Neil,1683305059907,https://neillyons.io,UK,,325,423,13,,,108711
287970,396,1267916285937,Graveen,1658677405210,,,,80,50,0,,,108509
280464,31,1267026610040,Aaron,1270836592230,,,,4,0,0,,,591861
279720,772,1266947642137,Oliver Kohll,1678265441283,http://www.agilebase.co.uk,United Kingdom,,85,13,0,,,104680
279287,1505,1266915828267,NET Experts,1645334193327,http://www.netexpertsinc.com,Philippines,"<p><a href=""http://www.netexpertsinc.com"" rel=""nofollow"">Visit Us.</a></p>

<p><img src=""http://i.stack.imgur.com/qeWdZ.png"" alt=""enter image description here""></p>
",439,272,40,,,104464
278360,804,1266797103413,jmbarbier,1683420241433,http://solidev.net,Eure,,40,153,1,,,104043
276742,11,1266561916280,Habib Hameed,1266561916280,,,,1,0,0,,,590637
275840,11,1266475760473,bean,1266475760473,,,,9,0,0,,,593757
274752,3690,1266355322487,Hultner,1683195046300,https://hultner.se,"Gothenburg, Sweden","<p>My name is Alexander Hultnér.<br />
CEO &amp; Founder of Hultnér Technologies AB.
Available for Python training, speaking &amp; consulting.</p>
<p>Technologist passionate for solving problems through digital products.
Equally invested in business development as engineering and driven by seeing how our efforts solves problems for customers and creates new values. Knowledge addict always looking ahead eager for the next challenge.</p>
<p>Studied Software Engineering at Chalmers University of Technology.</p>
",341,108,3,,,102334
274293,125,1266318550807,JFK1980,1591695388753,http://twitter.com/JFK_1980,"Bideford, United Kingdom","I enjoy the internet, using it, reading it, creating it and wasting time on it.",8,17,0,,,102107
273206,375,1266201758580,wtz,1616528422330,,,,59,38,0,,,101590
272612,141,1266107283007,Andrew,1266109280677,,,,9,0,0,,,882032
272118,3432,1266006421983,ibrewster,1683208193963,http://web.me.com/ibrewster,"Fairbanks, AK","<p>Coder by day, woodworker by night. Self-taught in Python, Javascript, HTML, CSS, and PostgreSQL over the past 11 years at my current position. Father of one cute son, husband to one cute wife. Looking to advance my career with a work-from-home development position.</p>
",284,433,2,,,101083
271454,845,1265930312307,Doug Johnston,1683312611860,https://www.atmosphericlabs.com,"Seattle, WA","<p>A front-end developer with a decent amount of design chops.</p>
",54,342,4,,,100760
269797,41,1265746205727,Kaiser,1267470431357,,,,2,0,0,,,591450
269312,41,1265703301607,Bart,1272526917737,,,,5,0,0,,,588552
268105,11,1265545294497,himself,1292972413727,http://boku.ru,,,4,0,0,,,622031
267361,161,1265400087220,jhhl,1650649548900,http://www.jhhl.net/iPhone/,"Kingston, NY, USA","<p>I've been doing iOS coding since is was NeXTStep.</p>
",41,6,0,,,98863
267272,137,1265389890413,user267272,1424381907290,,,,10,5,0,,,98822
265810,31,1265245104937,Alexis Gruet,1271621003910,,,,37,0,0,,,586848
265683,5395,1265233243047,RenegadeAndy,1678397134953,http://www.upsetpc.com,"Scotland, United Kingdom",,1279,382,22,,,98074
262920,192,1264946346190,Wicharek,1683283708890,http://wicharek.name,"Kharkiv, Ukraine",,24,84,0,,,96802
262588,1541,1264875914097,higherDefender,1565848111567,http://dhruvjain.info,Delhi,"<p>I am a HCI Researcher, trying to enhance human-human communication.</p>
",194,29,0,,,96642
261777,33,1264765563403,sweta Jha,1292482046353,,,,13,1,0,,,96291
261569,61,1264742592363,Clems,1270004430613,,,,1,0,0,,,588918
260336,21,1264615356337,Steward,1265855022120,,,,1,0,0,,,587776
259860,21,1264577972750,Ross Hawkins,1569877460913,http://www.rosshawkins.net/,"Auckland, New Zealand",,4,0,0,,,95406
259401,121,1264524977180,John,1340127953253,,,,16,0,0,,,880790
257004,1,1264186145313,pmtolk,1264484241743,http://braincargo.com,,,9,0,0,,,587636
256532,1519,1264146852200,JDC,1683277200277,http://www.alsic.be,Belgium,"<p>I'm mainly a .net Programmer, but as I like thinking outside of boxes I also have experience with C, C++, Java, PHP and Javascript.</p>
",205,279,17,,,93835
256469,9,1264140514030,kumar,1265135149320,,,,0,0,0,,,583794
255780,41,1264078000060,Jazz,1264589775367,,,,19,0,0,,,672822
254965,340,1263998581087,Matthias,1602509990550,,,,14,3,0,,,93148
254574,295,1263958966357,MZamkow,1674073184473,http://brownbearlabs.com,"New York, NY, United States",,21,240,0,,,92978
254216,111,1263921395363,James Oltmans,1265929040107,,,,2,0,0,,,585400
253736,21,1263878865147,user253736,1265703240277,,,,1,0,0,,,92606
252978,3,1263798163330,lord314,1263926095620,,,,5,0,0,,,583148
251972,29,1263603888403,Simon Bertrang,1263728075627,,"Hamburg, Germany",,10,0,0,,,585031
251539,125,1263561839990,André Carvalho,1648550385347,http://pt.linkedin.com/in/andrecarvalho83,Portugal,"<p>.NET/Flex developer from Portugal</p>
",38,6,0,,,91649
251301,51,1263533419963,Guillaume TD,1274645491810,,,,2,0,0,,,672792
